INFO 2021-11-25 19:00:04,172: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 19:00:05,335: 940 entries were already downloaded
INFO 2021-11-25 20:00:02,681: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 20:00:03,640: 938 entries were already downloaded
INFO 2021-11-25 20:00:03,641: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 20:00:04,580: 939 entries were already downloaded
INFO 2021-11-25 21:00:02,537: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 21:00:03,953: 940 entries were already downloaded
INFO 2021-11-25 21:00:03,954: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 21:00:05,415: 939 entries were already downloaded
INFO 2021-11-25 22:00:02,658: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 22:00:04,019: 938 entries were already downloaded
INFO 2021-11-25 22:00:04,019: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 22:00:05,457: 939 entries were already downloaded
INFO 2021-11-25 23:00:02,604: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 23:00:04,090: 939 entries were already downloaded
INFO 2021-11-25 23:00:04,090: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 23:00:05,240: 939 entries were already downloaded
INFO 2021-11-26 00:00:02,016: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 00:00:03,027: 940 entries were already downloaded
INFO 2021-11-26 00:00:03,028: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-26 00:00:04,065: 939 entries were already downloaded
INFO 2021-11-26 01:00:02,699: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 01:00:04,114: 938 entries were already downloaded
INFO 2021-11-26 01:00:04,115: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-26 01:00:05,172: 938 entries were already downloaded
INFO 2021-11-26 03:00:02,549: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 03:00:03,734: 879 entries were already downloaded
INFO 2021-11-26 03:00:03,734: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-26 03:00:05,154: 880 entries were already downloaded
INFO 2021-11-26 06:20:52,122: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 06:20:53,316: 799 entries were already downloaded
INFO 2021-11-26 06:20:53,316: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-26 06:20:54,451: 798 entries were already downloaded
INFO 2021-11-26 10:12:43,135: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 10:12:44,241: 767 entries were already downloaded
INFO 2021-11-26 10:12:44,242: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-26 10:12:45,302: 767 entries were already downloaded
INFO 2021-11-26 11:13:55,448: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 12:00:02,749: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 13:00:02,599: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 14:00:02,656: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 15:00:02,679: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 16:00:02,534: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 17:00:02,572: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-26 18:00:02,546: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-27 11:28:23,054: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-27 11:28:24,257: 0 entries were already downloaded
INFO 2021-11-27 11:28:24,257: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-27 11:28:25,468: 0 entries were already downloaded
INFO 2021-11-27 14:40:06,700: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-27 14:40:07,680: 807 entries were already downloaded
INFO 2021-11-27 14:40:07,681: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-28 14:00:02,673: Updating SPOT_BTC_USDT_1m.csv
